indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
0200E,2010-01-01,14.5,-2.9,14,27.5,77,62.4
0200E,2010-02-01,17.9,-2.7,12,19.2,67,95.9
0200E,2010-03-01,19.3,-2.2,10,19.7,71,76.9
0200E,2010-04-01,24.5,6.5,16,13.6,67,24.1
0200E,2010-05-01,26.6,5.1,14,15.8,70,154.1
0200E,2010-06-01,31.5,11.2,9,13.3,67,35.7
0200E,2010-07-01,34.2,17.3,5,12.5,64,13.0
0200E,2010-08-01,37.9,14.6,9,21.1,69,24.5
0200E,2010-09-01,31.2,11.1,11,14.4,77,95.5
0200E,2010-10-01,25.4,5.3,10,26.9,74,91.5
0200E,2010-11-01,23.2,2.4,7,19.7,67,14.2
0200E,2010-12-01,19.5,-1.3,15,17.8,67,32.8
