indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
6155A,2020-01-01,23.5,4.5,7,16.4,72,142.0
6155A,2020-02-01,25.7,6.6,1,15.3,71,2.2
6155A,2020-03-01,26.8,7.6,14,18.6,65,149.3
6155A,2020-04-01,27.0,8.9,9,15.3,71,26.7
6155A,2020-05-01,32.0,10.6,7,14.4,61,31.8
6155A,2020-07-01,40.3,19.6,1,13.3,63,0.2
6155A,2020-08-01,43.7,19.6,1,14.4,54,0.9
6155A,2020-09-01,35.5,14.9,3,18.6,62,7.9
6155A,2020-10-01,33.2,9.6,6,16.4,61,25.8
6155A,2020-11-01,28.5,8.4,7,20.6,80,66.8
6155A,2020-12-01,23.5,3.3,7,17.5,71,5.2
