indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
8414A,2020-01-01,22.7,-1.8,8,26.7,74,101.1
8414A,2020-02-01,29.6,3.3,4,18.1,69,1.4
8414A,2020-03-01,25.3,3.8,15,30.3,67,74.9
8414A,2020-04-01,26.9,6.1,14,16.9,71,56.3
8414A,2020-05-01,33.3,10.8,10,17.5,57,45.7
8414A,2020-06-01,33.0,12.9,3,16.9,57,27.4
8414A,2020-07-01,35.0,18.4,4,20.6,60,14.1
8414A,2020-08-01,36.5,14.9,3,13.3,58,1.7
8414A,2020-09-01,32.4,10.4,6,18.6,57,11.1
8414A,2020-10-01,33.1,6.6,4,22.2,56,5.8
8414A,2020-11-01,26.0,4.2,9,18.9,78,198.8
8414A,2020-12-01,22.7,-1.3,7,23.6,58,5.9
